EVA_NR,DS100,IFOPT,NAME,VERKEHR,STATUS
8000323,SSH,de:10041:8000323,Saarbrücken Hbf,FV,
8000329,TSG,de:08136:3077,Schwäbisch Gmünd,FV,
8000331,KAND,de:07137:10113,Andernach,FV,
8000333,RHA,de:08317:18620,Hausach,FV,
8000337,FMBG,de:06534:10011,Marburg(Lahn),FV,
8000339,TM,de:08236:3090,Mühlacker,FV,
8000349,FO,de:06413:2501,Offenbach(Main)Hbf,FV,
8000366,RVL,de:08326:6592,Villingen(Schwarzw),FV,
8000368,FWAB,de:06634:204729,Wabern(Bz Kassel),FV,
8000377,RWE,de:08226:4109,Weinheim(Bergstr),FV,
8000385,NGUN,de:09577:16100,Gunzenhausen,FV,
8000459,MAIN,de:09172:90022,Ainring,FV,
8000483,HALF,de:03254:22801,Alfeld(Leine),FV,
8000522,HHUD,de:03458:44501,Hude,FV,
8000571,ELPP,de:05974:11593,Lippstadt,FV,
8000631,RMF,de:08222:2331,Neu-Edingen/Friedrichsfeld,FV,
8000635,FAH,de:06439:11035,Assmannshausen,FV,
8000664,HAUG,de:03451:3761,Augustfehn,FV,
8000667,"FMT,FMTN",de:07143:3700,Montabaur,FV,
8000688,MNFR,de:09274:3500,Neufahrn(Niederbay),FV,
8000718,RBKR,de:08315:6501,Bad Krozingen,FV,
8000732,HOY,de:05770:1033,Bad Oeynhausen,FV,
8000737,MBRL,de:09172:42164,Bad Reichenhall,FV,
8000738,MBRK,de:09172:90196,Bad Reichenhall-Kirchberg,FV,
8000770,HZWI,de:03451:6417,Bad Zwischenahn,FV,
8000774,RBB,de:08211:1847,Baden-Baden,FV,
8000800,HNN,de:03452:67948,Norden,FV,
8000831,MBGM,de:09172:90197,Bayerisch Gmain,FV,
8000879,HBTH,de:03456:4115,Bad Bentheim,FV,
8000880,RRZ,de:08335:6560,Radolfzell,FV,
8000885,MBG,de:09172:90194,Berchtesgaden Hbf,FV,
8000891,FSUE,de:06435:11052,Schlüchtern,FV,
8000935,ABVS,de:03360:4302,Bad Bevensen,FV,
8000943,TBI,de:08426:6170,Biberach(Riß),FV,
8000997,MBI,de:09172:90195,Bischofswiesen,FV,
8001055,TBO,de:08115:7100,Böblingen,FV,
8001082,KBBG,de:05314:66101,Bonn-Bad Godesberg,FV,
8001083,KBB,de:05314:65101,Bonn-Beuel,FV,
8001139,ABST,de:01054:13478,Bredstedt,FV,
8001274,ABUF,de:01055:26748,Fehmarn-Burg,FV,
8001330,NCH,de:09372:1154,Cham(Oberpf),FV,
8001443,HDIP,de:03251:20359,Diepholz,FV,
8001580,KDF,de:05111:18517,Düsseldorf Flughafen Terminal,FV,
8001751,TEL,de:08136:2007,Ellwangen,FV,
8001767,HEA,de:03402:24249,Emden Außenhafen,FV,
8001768,HE,de:03402:24289,Emden Hbf,FV,
8001787,MBEF,de:09187:41666,Bad Endorf,FV,
8001844,NER,de:09562:3110,Erlangen,FV,
8001920,TE,de:08116:7800,Esslingen(Neckar),FV,
8001995,MFN,de:09780:702,Fischen,FV,
8002041,FFS,de:06412:912,Frankfurt(Main)Süd,FV,
8002042,FFW,de:06412:1204,Frankfurt(Main)West,FV,
8002078,MFR,de:09178:2680,Freising,FV,
8002159,NFW,de:09372:1457,Furth i Wald,FV,
8002187,MGP,de:09180:42837,Garmisch-Partenkirchen,FV,
8002206,"KGEK,KGKK",de:05370:3220,Geilenkirchen,FV,
8002218,TG,de:08117:161,Geislingen(Steige),FV,
8002461,EGLO,de:05754:5947,Gütersloh Hbf,FV,
8002504,AHAF,de:01055:34542,Haffkrug,FV,
8002548,"ADF,ADST",de:02000:8002548,Hamburg Dammtor,FV,
8002549,AH,de:02000:10950,Hamburg Hbf,FV,
8002553,AA,de:02000:8002553,Hamburg-Altona,FV,
8002554,"ABG,ABG S",de:02000:25950,Hamburg-Bergedorf,FV,
8002570,MHAU,de:09172:90128,Hammerau,FV,
8002757,FHP,de:06431:1502,Heppenheim(Bergstr),FV,
8002806,KHEZ,de:05334:3690,Herzogenrath,FV,
8003001,RHBG,de:08317:18820,Hornberg(Schwarzw),FV,
8003016,FHUE,de:06631:11048,Hünfeld,FV,
8003036,HI,de:05566:14317,Ibbenbüren,FV,
8003065,MIMS,de:09780:750,Immenstadt,FV,
8003102,AIZ,de:01061:46671,Itzehoe,FV,
8003184,"RKDU,RKDUA",de:08212:801,Karlsruhe-Durlach,FV,
8003200,FKW,de:06611:200007,Kassel-Wilhelmshöhe,FV,
8003222,AKI,de:01054:48669,Keitum,FV,
8003303,AKX,de:01054:49993,Klanxbüll,FV,
8003330,KFKB,de:05315:17551,Köln/Bonn Flughafen,FV,
8003368,KKDZ,de:05315:11950,Köln Messe/Deutz,FV,
8003400,RKO,de:08335:6554,Konstanz,FV,
8003487,HHML,de:03241:9830,Hannover Messe/Laatzen,FV,
8003494,RLSW,de:08317:12103,Lahr(Schwarzw),FV,
8003515,SLD,de:07335:8123,Landstuhl,FV,
